Numero;Descricao;Umidade;Energia;Proteina;Carboidrato;Categoria
2;Arroz integral cru;12.2;360;7.3;77.5;Cereais e derivados
8;Biscoito doce maisena;3.2;443;8.1;75.2;Cereais e derivados
15;Bolo pronto aipim;34.1;324;4.4;47.9;Cereais e derivados
24;Cereais mistura para vitamina trigo cevada e aveia;4.4;381;8.9;81.6;Cereais e derivados
33;Farinha de milho amarela;11.8;351;7.2;79.1;Cereais e derivados
39;Macarrao instantaneo;6.0;436;8.8;62.4;Cereais e derivados
45;Milho verde enlatado drenado;76.2;98;3.2;17.1;Cereais e derivados
51;Pao milho forma;30.4;292;8.3;56.4;Cereais e derivados
56;Pastel de carne frito;22.9;388;10.1;43.8;Cereais e derivados
62;Polenta pre-cozida;72.7;103;2.3;23.3;Cereais e derivados
66;Abobora menina brasileira crua;95.7;14;0.6;3.3;Verduras hortalicas e derivados
75;Agriao cru;93.9;17;2.7;2.3;Verduras hortalicas e derivados
81;Alfavaca crua;90.2;29;2.7;5.2;Verduras hortalicas e derivados
96;Berinjela crua;93.8;20;1.2;4.4;Verduras hortalicas e derivados
104;Caruru cru;87.6;34;3.2;6.0;Verduras hortalicas e derivados
115;Couve manteiga crua;90.9;27;2.9;4.3;Verduras hortalicas e derivados
129;Mandioca cozida;68.7;125;0.6;30.1;Verduras hortalicas e derivados
138;Palmito jucara em conserva;91.4;23;1.8;4.3;Verduras hortalicas e derivados
149;Repolho branco cru;94.7;17;0.9;3.9;Verduras hortalicas e derivados
157;Tomate com semente cru;95.1;15;1.1;3.1;Verduras hortalicas e derivados
163;Abacate cru;83.8;96;1.2;6.0;Frutas e derivados
174;Atimoia crua;72.7;97;1.0;25.3;Frutas e derivados
182;Banana prata crua;71.9;98;1.3;26.0;Frutas e derivados
191;Ciriguela crua;78.7;76;1.4;18.9;Frutas e derivados
200;Goiaba vermelha com casca crua;85.0;54;1.1;13.0;Frutas e derivados
210;Laranja da terra crua;85.4;51;1.1;12.9;Frutas e derivados
222;Maca Fuji com casca crua;84.3;56;0.3;15.2;Frutas e derivados
233;Maracuja polpa congelada;88.9;39;0.8;9.6;Frutas e derivados
241;Pequi cru;65.9;205;2.3;13.0;Frutas e derivados
253;Tucuma cru;51.3;262;2.1;26.5;Frutas e derivados
275;Abadejo file congelado cru;86.4;59;13.1;0.0;Pescados e frutos do mar
280;Bacalhau salgado refogado;65.9;140;24.0;1.2;Pescados e frutos do mar
285;Camarao Rio Grande grande cru;89.1;47;10.0;0.0;Pescados e frutos do mar
293;Corvina grande assada;69.0;147;26.8;0.0;Pescados e frutos do mar
297;Lambari congelado frito;40.1;327;28.4;0.0;Pescados e frutos do mar
302;Merluza file cru;82.1;89;16.6;0.0;Pescados e frutos do mar
306;Pescada file com farinha de trigo frito;53.2;283;21.4;5.0;Pescados e frutos do mar
311;Pintado assado;57.0;192;36.5;0.0;Pescados e frutos do mar
315;Salmao file com pele fresco grelhado;60.9;229;23.9;0.0;Pescados e frutos do mar
321;Sardinha inteira crua;76.6;114;21.1;0.0;Pescados e frutos do mar
323;Apresuntado;73.7;129;13.5;2.9;Carnes e derivados
331;Carne bovina almondegas fritas;48.1;272;18.2;14.3;Carnes e derivados
342;Carne bovina contra-file de costela grelhado;52.2;275;29.9;0.0;Carnes e derivados
353;Carne bovina cupim assado;48.4;330;28.6;0.0;Carnes e derivados
361;Carne bovina fraldinha com gordura cozida;49.7;338;24.2;0.0;Carnes e derivados
